epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1256.99,1.13793,0.36211,0.01121,0.95447,0.97512,0.97892,0.64336,1.26447,0.41001,0.01228,0.000804167,0.000804167,0.000804167
87,1271.48,1.13857,0.34493,0.01112,0.98397,0.96512,0.97905,0.62901,1.31043,0.38375,0.01281,0.000783933,0.000783933,0.000783933
88,1285.85,1.13499,0.33834,0.01097,0.98916,0.9186,0.97968,0.63609,1.27102,0.36942,0.01218,0.000763797,0.000763797,0.000763797
89,1300.57,1.12192,0.33806,0.0109,0.98765,0.92989,0.98929,0.65035,1.25203,0.38288,0.0119,0.000743769,0.000743769,0.000743769
90,1315.13,1.1414,0.34102,0.01087,0.94352,0.97674,0.97963,0.63543,1.24159,0.35704,0.01195,0.000723859,0.000723859,0.000723859
91,1329.19,1.13741,0.33922,0.01136,0.95033,0.96512,0.9774,0.64673,1.25738,0.42237,0.01208,0.000704073,0.000704073,0.000704073
92,1343.46,1.09905,0.33942,0.01074,0.93046,0.95349,0.9786,0.64393,1.26495,0.41481,0.01226,0.000684422,0.000684422,0.000684422
93,1357.26,1.1116,0.34651,0.01076,0.95931,0.96512,0.98314,0.64153,1.25486,0.37253,0.01186,0.000664914,0.000664914,0.000664914
94,1371.03,1.12411,0.34141,0.01115,0.95312,0.97674,0.99103,0.65326,1.27073,0.36991,0.01223,0.000645557,0.000645557,0.000645557
95,1385.23,1.10999,0.33594,0.01078,0.96383,0.98837,0.99159,0.65878,1.23859,0.34848,0.01188,0.00062636,0.00062636,0.00062636
96,1400.17,1.11926,0.32358,0.01097,0.9658,0.98525,0.99022,0.66199,1.20694,0.35667,0.01164,0.000607331,0.000607331,0.000607331
97,1415.34,1.07714,0.33832,0.01061,0.97692,0.98435,0.99204,0.65571,1.2047,0.38255,0.01164,0.000588479,0.000588479,0.000588479
98,1429.82,1.09751,0.35111,0.01066,0.94559,0.93023,0.98619,0.6413,1.27142,0.42056,0.01234,0.000569811,0.000569811,0.000569811
99,1443.99,1.1042,0.33308,0.01079,0.95479,0.98239,0.99064,0.64202,1.2593,0.35977,0.0122,0.000551337,0.000551337,0.000551337
100,1458.39,1.08103,0.34872,0.01049,0.96423,0.95349,0.98843,0.62951,1.29882,0.37403,0.01263,0.000533064,0.000533064,0.000533064
101,1472.61,1.09533,0.3326,0.0106,0.98792,0.95066,0.98893,0.62712,1.31913,0.3995,0.01286,0.000515,0.000515,0.000515
102,1487.23,1.08875,0.33493,0.0106,0.97663,0.97202,0.97958,0.64501,1.2793,0.35959,0.01241,0.000497153,0.000497153,0.000497153
103,1501.45,1.09711,0.31629,0.01085,0.92959,0.97674,0.98851,0.64717,1.27558,0.35797,0.01223,0.000479531,0.000479531,0.000479531
104,1515.82,1.05702,0.33052,0.01017,1,0.97339,0.99339,0.66393,1.24382,0.3454,0.01189,0.000462142,0.000462142,0.000462142
105,1530.79,1.08822,0.33338,0.01069,1,0.97608,0.99433,0.65045,1.2764,0.32174,0.01205,0.000444994,0.000444994,0.000444994
106,1545.33,1.07378,0.32833,0.0103,0.97623,0.96512,0.99178,0.6445,1.26192,0.36008,0.01203,0.000428093,0.000428093,0.000428093
107,1559.34,1.04631,0.32355,0.01023,0.96454,0.97674,0.99044,0.64428,1.25998,0.35396,0.01204,0.000411447,0.000411447,0.000411447
108,1573.25,1.06069,0.33062,0.01015,0.96483,0.95705,0.98778,0.64854,1.23686,0.36858,0.01183,0.000395064,0.000395064,0.000395064
109,1587.07,1.0681,0.33063,0.0105,0.95987,0.96512,0.98957,0.64582,1.28921,0.36765,0.0123,0.00037895,0.00037895,0.00037895
110,1600.73,1.05972,0.33379,0.00989,0.95486,0.98394,0.98996,0.6477,1.23541,0.37503,0.01187,0.000363114,0.000363114,0.000363114
